complex_id	proteins
302	P14693 P50110 P53969
303	P14693 P50110 P53969
304	P14693 P50110 P53969
305	O13525 P27680 P53318
306	P22135 P40491 Q03028
307	P32804 P34240 Q12436
308	P32804 P34240 Q12436
309	P11412 P46367 P54115
310	P16661 P38179 P53954
311	P32804 P34240 Q12436
312	P04806 P04807 P17709
313	P00424 P00427 P07255
314	P32804 P34240 Q12436
315	P04806 P04807 P17709
316	P15367 Q04969 Q12133
317	P04806 P04807 P17709
318	P15367 Q04969 Q12133
319	P11412 P46367 P54115
320	P14693 P50110 P53969
321	O13525 P27680 P53318
322	O13525 P27680 P53318
323	O13525 P27680 P53318
324	P04806 P04807 P17709
325	P16661 P38179 P53954
326	P15367 Q04969 Q12133
327	P14693 P50110 P53969
328	P14693 P50110 P53969
329	P43124 Q05541 Q07913
330	P04806 P04807 P17709
331	P22135 P40491 Q03028
332	P16661 P38179 P53954
333	P32804 P34240 Q12436
334	P15367 Q04969 Q12133
335	P38969 P40990 P53239
336	P11412 P46367 P54115
337	P32804 P34240 Q12436
338	P04806 P04807 P17709
339	P11412 P46367 P54115
340	O13525 P27680 P53318
341	P14693 P50110 P53969
342	O13525 P27680 P53318
343	P15367 Q04969 Q12133
344	P22135 P40491 Q03028
345	P35734 P36162 Q03954 Q12248
346	P04806 P04807 P17709
347	P00424 P00427 P07255
348	P15367 Q04969 Q12133
349	P22135 P40491 Q03028
350	P32804 P34240 Q12436
351	P16661 P38179 P53954
352	P11412 P46367 P54115
353	P22135 P40491 Q03028
354	P11412 P46367 P54115
355	P14693 P50110 P53969
356	P04806 P04807 P17709
357	P22135 P40491 Q03028
358	P39904 P47061 Q12071
359	P16661 P38179 P53954
360	P38969 P40990 P53239
361	P34110 P38759 Q92331
362	P32804 P34240 Q12436
363	O13525 P27680 P53318
364	O13525 P27680 P53318
365	P16661 P38179 P53954
366	P32804 P34240 Q12436
367	P16661 P38179 P53954
368	P16661 P38179 P53954
369	O13525 P27680 P53318
370	P04806 P04807 P17709
371	P11412 P46367 P54115
372	P32804 P34240 Q12436
373	O13525 P27680 P53318
374	P11412 P46367 P54115
375	P22135 P40491 Q03028
376	P32804 P34240 Q12436
377	P15367 Q04969 Q12133
378	P14693 P50110 P53969
379	P22135 P40491 Q03028
