complex_id	proteins
369	P38806 P43572 Q08649
370	P38829 P40469 Q05583
371	P38850 P47050 Q06164 Q06211 Q08273
372	P38863 P53378 P53540
373	P38874 P42935 Q02884 Q02908 Q04868 Q06706
379	P39984 Q12341 Q12373
385	P40056 P53192 Q12154
388	P40155 P53112 P80667
395	P40565 P46947 Q07930
396	P40963 Q04003 Q99314
398	P43592 P46671 P53917 Q03944 Q05040 Q06001
399	P46676 P53685 Q12192
400	P46962 P46963 Q03957
404	P47104 P52286 Q03956
405	P47142 Q06696 Q12483
407	P48581 Q02574 Q08949
411	P53261 Q04660 Q12024
414	P53973 Q06623 Q06629
